(
(0.948000	2806.45127840)
(0.949000	2817.36068370)
(0.950000	2827.44749470)
(0.951000	2836.67012180)
(0.952000	2844.99097440)
(0.953000	2852.37672750)
(0.954000	2858.79832170)
(0.955000	2864.23176300)
(0.956000	2868.65798950)
(0.957000	2872.06327130)
(0.958000	2874.43961040)
(0.959000	2875.78447410)
(0.960000	2876.10132820)
(0.961000	2875.39990360)
(0.962000	2873.69579640)
(0.963000	2871.01126770)
(0.964000	2867.37484370)
(0.965000	2862.82144900)
(0.966000	2857.39293980)
(0.967000	2851.13743740)
(0.968000	2844.10959480)
(0.969000	2836.37112990)
(0.970000	2827.99002570)
(0.971000	2819.04066360)
(0.972000	2809.60435660)
(0.973000	2799.76828290)
(0.974000	2789.62655230)
(0.975000	2779.27887320)
(0.976000	2768.83148570)
(0.977000	2758.39622850)
(0.978000	2748.09053890)
(0.979000	2738.03798600)
(0.980000	2728.36653780)
(0.981000	2719.21016080)
(0.982000	2710.70668720)
(0.983000	2702.99901460)
(0.984000	2696.23403960)
(0.985000	2690.56252450)
(0.986000	2686.13856410)
(0.987000	2683.11918580)
(0.988000	2681.66434960)
(0.989000	2681.93601500)
(0.990000	2684.09774110)
(0.991000	2688.31455330)
(0.992000	2694.75201020)
(0.993000	2703.57567040)
(0.994000	2714.95095920)
(0.995000	2729.04210220)
